FID,District,Upazila,Union,Settlement,Camp Name,Inter Sector Coordination Group Camp Name,Unique ID,Facility Code,Facility,Geographical Coordinates,Source of Funding,Implementing Partner,Landslide,Flood,Landslide Risk,Flood Risk,Risk of both,Risk of either
750.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_17,MQ,Mosque,"(21.1820227,  92.1426864999999)",**,**,**,**,No,No,No,No
751.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_18,MQ,Mosque,"(21.1811286,  92.1462044999999)",Private Donation,**,**,-1.0,No,Yes,No,Yes
752.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_19,MQ,Mosque,"(21.1808249,  92.1452198)",Private Donation,**,**,-1.0,No,Yes,No,Yes
753.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MD_4,MD,Madrassah,"(21.18080696,  92.1452127999999)",Local Government,**,**,-1.0,No,Yes,No,Yes
754.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_20,MQ,Mosque,"(21.1817888799999,  92.14806575)",Private Donation,**,**,-1.0,No,Yes,No,Yes
755.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_21,MQ,Mosque,"(21.1812524,  92.1436991)",Private Donation,**,**,**,No,No,No,No
756.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_22,MQ,Mosque,"(21.1807303599999,  92.1453344699999)",Local Government,**,**,-1.0,No,Yes,No,Yes
757.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_23,MQ,Mosque,"(21.1807363,  92.1454305)",Private Donation,**,**,-1.0,No,Yes,No,Yes
758.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_24,MQ,Mosque,"(21.1809833999999,  92.1451756)",Private Donation,**,**,-1.0,No,Yes,No,Yes
759.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_25,MQ,Mosque,"(21.18460559,  92.1400059799999)",Non-governmental Organization (United Nations),AlMidaadFoundation,**,-1.0,No,Yes,No,Yes
760.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_26,MQ,Mosque,"(21.1810028999999,  92.1445027999999)",Private Donation,**,**,**,No,No,No,No
761.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_27,MQ,Mosque,"(21.1858891,  92.1369317999999)",Non-governmental Organization (United Nations),AlMazrakulIslami,**,**,No,No,No,No
788.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_29,MQ,Mosque,"(21.1845206399999,  92.15456034)",Private Donation,**,-1.0,**,Yes,No,No,Yes
789.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_CF_14,CF,Child Friendly Space,"(21.1808049999999,  92.1545437999999)",Non-governmental Organization (United Nations),SaveTheChildren,-1.0,**,Yes,No,No,Yes
790.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MD_9,MD,Madrassah,"(21.18388856,  92.15333545)",Private Donation,**,-1.0,-1.0,Yes,Yes,Yes,Yes
791.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_30,MQ,Mosque,"(21.18393923,  92.15334599)",Private Donation,**,-1.0,-1.0,Yes,Yes,Yes,Yes
792.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_31,MQ,Mosque,"(21.18439478,  92.15370932)",Private Donation,**,-1.0,**,Yes,No,No,Yes
793.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_32,MQ,Mosque,"(21.18113281,  92.1542726899999)",Private Donation,**,**,**,No,No,No,No
794.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_33,MQ,Mosque,"(21.18394487,  92.15388866)",Private Donation,**,**,**,No,No,No,No
795.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_34,MQ,Mosque,"(21.18062149,  92.15521567)",Private Donation,**,**,**,No,No,No,No
796.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MD_10,MD,Madrassah,"(21.1805264,  92.1553978999999)",**,**,**,**,No,No,No,No
797.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MD_11,MD,Madrassah,"(21.18077375,  92.1563162599999)",**,**,**,-1.0,No,Yes,No,Yes
798.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_35,MQ,Mosque,"(21.18051965,  92.15532353)",**,**,-1.0,**,Yes,No,No,Yes
799.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MD_12,MD,Madrassah,"(21.18052299,  92.1553923099999)",**,**,**,**,No,No,No,No
800.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_13,MQ,Mosque,"(21.17957832,  92.1515979499999)",Private Donation,**,**,**,No,No,No,No
801.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_14,MQ,Mosque,"(21.18074276,  92.1487336)",Private Donation,**,**,**,No,No,No,No
802.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MD_5,MD,Madrassah,"(21.17873677,  92.15060062)",Self Made,**,**,**,No,No,No,No
803.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_15,MQ,Mosque,"(21.17894077,  92.15556795)",Private Donation,**,-1.0,-1.0,Yes,Yes,Yes,Yes
804.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_16,MQ,Mosque,"(21.17854569,  92.15503696)",Private Donation,**,**,-1.0,No,Yes,No,Yes
805.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MD_6,MD,Madrassah,"(21.1785424999999,  92.1546882899999)",Private Donation,**,-1.0,-1.0,Yes,Yes,Yes,Yes
806.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MD_7,MD,Madrassah,"(21.17852982,  92.15465197)",Private Donation,**,-1.0,-1.0,Yes,Yes,Yes,Yes
807.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_17,MQ,Mosque,"(21.17868459,  92.1546661999999)",Private Donation,**,-1.0,-1.0,Yes,Yes,Yes,Yes
808.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_18,MQ,Mosque,"(21.17879298,  92.15321749)",Local Government,**,-1.0,-1.0,Yes,Yes,Yes,Yes
809.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_19,MQ,Mosque,"(21.1817540499999,  92.1526542799999)",Private Donation,**,**,**,No,No,No,No
810.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_20,MQ,Mosque,"(21.17985053,  92.14832398)",Private Donation,**,**,**,No,No,No,No
811.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MD_8,MD,Madrassah,"(21.1798200399999,  92.14834591)",Private Donation,**,**,**,No,No,No,No
812.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_21,MQ,Mosque,"(21.183138,  92.1476617)",Private Donation,**,**,-1.0,No,Yes,No,Yes
813.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_CF_2,CF,Child Friendly Space,"(21.18179608,  92.1522648699999)",Non-governmental Organization (United Nations),Brac,**,**,No,No,No,No
814.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MD_9,MD,Madrassah,"(21.18019992,  92.1511201999999)",**,**,-1.0,-1.0,Yes,Yes,Yes,Yes
815.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MD_10,MD,Madrassah,"(21.1805391,  92.1508814999999)",Private Donation,**,**,**,No,No,No,No
816.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_22,MQ,Mosque,"(21.1810951,  92.1509887999999)",Local Government,**,**,-1.0,No,Yes,No,Yes
817.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_7,MQ,Mosque,"(21.1770395299999,  92.1382360199999)",**,**,-1.0,-1.0,Yes,Yes,Yes,Yes
818.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MD_4,MD,Madrassah,"(21.1792926299999,  92.13570959)",Private Donation,**,**,-1.0,No,Yes,No,Yes
819.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_8,MQ,Mosque,"(21.1790826999999,  92.1395315)",Private Donation,**,**,**,No,No,No,No
820.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_9,MQ,Mosque,"(21.1794976999999,  92.1392348899999)",Private Donation,**,**,**,No,No,No,No
821.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_10,MQ,Mosque,"(21.1820173099999,  92.1395540999999)",Private Donation,**,**,-1.0,No,Yes,No,Yes
822.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_11,MQ,Mosque,"(21.1795791,  92.139177)",Private Donation,**,**,**,No,No,No,No
823.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_12,MQ,Mosque,"(21.1800651,  92.1363855999999)",Private Donation,**,**,**,No,No,No,No
824.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_13,MQ,Mosque,"(21.1797852,  92.1398815999999)",Private Donation,**,**,**,No,No,No,No
825.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_14,MQ,Mosque,"(21.1802077,  92.1370814)",Private Donation,**,**,-1.0,No,Yes,No,Yes
826.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_15,MQ,Mosque,"(21.1811715599999,  92.1409269499999)",Private Donation,**,**,-1.0,No,Yes,No,Yes
827.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_16,MQ,Mosque,"(21.1801667999999,  92.1414386)",Private Donation,**,**,**,No,No,No,No
828.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_CF_3,CF,Child Friendly Space,"(21.1789379999999,  92.1377142)",Non-governmental Organization (United Nations),Brac,-1.0,-1.0,Yes,Yes,Yes,Yes
829.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_CF_4,CF,Child Friendly Space,"(21.1789966,  92.1408959999999)",Non-governmental Organization (United Nations),Brac,**,-1.0,No,Yes,No,Yes
830.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_CF_5,CF,Child Friendly Space,"(21.1793994,  92.1413411999999)",Non-governmental Organization (United Nations),SaveTheChildren,**,**,No,No,No,No
831.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MD_5,MD,Madrassah,"(21.18019289,  92.1402668)",Local Government,**,**,**,No,No,No,No
832.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_17,MQ,Mosque,"(21.18009277,  92.1404841199999)",Private Donation,**,-1.0,**,Yes,No,No,Yes
833.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_18,MQ,Mosque,"(21.17930943,  92.14220219)",Self Made,**,**,**,No,No,No,No
834.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_19,MQ,Mosque,"(21.17838386,  92.1408937199999)",Local Government,**,**,**,No,No,No,No
835.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_20,MQ,Mosque,"(21.17588757,  92.14276795)",Local Government,**,**,-1.0,No,Yes,No,Yes
836.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_21,MQ,Mosque,"(21.1757135199999,  92.14012757)",Private Donation,**,**,**,No,No,No,No
837.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MD_6,MD,Madrassah,"(21.1782803999999,  92.1388509399999)",Private Donation,**,**,**,No,No,No,No
838.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_22,MQ,Mosque,"(21.17571114,  92.14210436)",Local Government,**,**,**,No,No,No,No
839.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MD_7,MD,Madrassah,"(21.17575593,  92.14264971)",Private Donation,**,**,-1.0,No,Yes,No,Yes
840.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_CF_6,CF,Child Friendly Space,"(21.17646218,  92.1426929699999)",Non-governmental Organization (United Nations),Brac,**,**,No,No,No,No
841.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_23,MQ,Mosque,"(21.1784193,  92.1401575999999)",Private Donation,**,**,**,No,No,No,No
842.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_24,MQ,Mosque,"(21.1746004399999,  92.1420738099999)",Private Donation,**,**,-1.0,No,Yes,No,Yes
843.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_25,MQ,Mosque,"(21.1791313899999,  92.13789744)",Private Donation,**,**,-1.0,No,Yes,No,Yes
844.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_26,MQ,Mosque,"(21.17838514,  92.1409860899999)",Private Donation,**,-1.0,**,Yes,No,No,Yes
845.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_27,MQ,Mosque,"(21.17995406,  92.1380903)",Private Donation,**,-1.0,-1.0,Yes,Yes,Yes,Yes
846.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_28,MQ,Mosque,"(21.1753913999999,  92.1394284699999)",Private Donation,**,**,**,No,No,No,No
847.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_29,MQ,Mosque,"(21.17834805,  92.1388779199999)",Private Donation,**,**,**,No,No,No,No
848.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_30,MQ,Mosque,"(21.1751550699999,  92.14070212)",**,**,-1.0,-1.0,Yes,Yes,Yes,Yes
849.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_31,MQ,Mosque,"(21.1760680199999,  92.1411475999999)",Private Donation,**,**,**,No,No,No,No
850.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_32,MQ,Mosque,"(21.17505351,  92.1402941199999)",**,**,**,**,No,No,No,No
851.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MD_8,MD,Madrassah,"(21.17495637,  92.14027548)",**,**,**,**,No,No,No,No
852.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_DC_1,DC,Distribution Center,"(21.17405983,  92.1392182)",Non-governmental Organization (United Nations),RedCrescentSociety,**,-1.0,No,Yes,No,Yes
853.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MD_9,MD,Madrassah,"(21.1761201099999,  92.1388611099999)",Private Donation,**,**,-1.0,No,Yes,No,Yes
854.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_33,MQ,Mosque,"(21.17627757,  92.1389012799999)",Private Donation,**,**,-1.0,No,Yes,No,Yes
922.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MD_5,MD,Madrassah,"(21.18483359,  92.13855243)",Private Donation,**,**,**,No,No,No,No
923.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_28,MQ,Mosque,"(21.18484236,  92.13860375)",Private Donation,**,**,**,No,No,No,No
924.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MD_6,MD,Madrassah,"(21.18369694,  92.1404923)",Private Donation,**,**,-1.0,No,Yes,No,Yes
925.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MD_7,MD,Madrassah,"(21.1838508499999,  92.14067325)",Private Donation,**,**,-1.0,No,Yes,No,Yes
957.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_36,MQ,Mosque,"(21.18170958,  92.1539539599999)",**,**,-1.0,-1.0,Yes,Yes,Yes,Yes
958.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_37,MQ,Mosque,"(21.1823225499999,  92.15357344)",**,**,-1.0,-1.0,Yes,Yes,Yes,Yes
959.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_23,MQ,Mosque,"(21.18147387,  92.15006854)",,**,**,**,No,No,No,No
960.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_24,MQ,Mosque,"(21.1809038399999,  92.15275748)",**,**,-1.0,-1.0,Yes,Yes,Yes,Yes
961.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_25,MQ,Mosque,"(21.1805501099999,  92.1517013699999)",**,**,-1.0,-1.0,Yes,Yes,Yes,Yes
962.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MD_11,MD,Madrassah,"(21.18150912,  92.1506048499999)",**,**,**,-1.0,No,Yes,No,Yes
963.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_26,MQ,Mosque,"(21.18161891,  92.15070348)",**,**,-1.0,-1.0,Yes,Yes,Yes,Yes
964.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_WF_1,WF,Women's Friendly Space,"(21.1792723999999,  92.1434632999999)",Non-governmental Organization (United Nations),UNFPA,**,**,No,No,No,No
965.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MD_10,MD,Madrassah,"(21.1825525799999,  92.1375021599999)",Private Donation,**,**,**,No,No,No,No
966.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_34,MQ,Mosque,"(21.1741299599999,  92.1403037099999)",**,**,-1.0,-1.0,Yes,Yes,Yes,Yes
967.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_35,MQ,Mosque,"(21.1764876,  92.1438715999999)",Private Donation,**,**,**,No,No,No,No
968.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_DC_2,DC,Distribution Center,"(21.17434197,  92.1407444299999)",Non-governmental Organization (United Nations),Other,**,-1.0,No,Yes,No,Yes
969.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_36,MQ,Mosque,"(21.1829317999999,  92.1385262)",Private Donation,**,**,-1.0,No,Yes,No,Yes
970.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MD_11,MD,Madrassah,"(21.17571942,  92.14021821)",Private Donation,**,-1.0,**,Yes,No,No,Yes
971.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_37,MQ,Mosque,"(21.1797393999999,  92.1428151)",Private Donation,**,**,-1.0,No,Yes,No,Yes
972.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 13,CXB-220,C13_MQ_38,MQ,Mosque,"(21.1796346,  92.142865)",Private Donation,**,**,**,No,No,No,No
1012.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 18,CXB-215,C18_MQ_38,MQ,Mosque,"(21.19476552,  92.14662382)",Private Donation,**,**,**,No,No,No,No
1013.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 4,CXB-206,C4_MQ_2,MQ,Mosque,"(21.2036239299999,  92.1433251899999)",**,**,**,**,No,No,No,No
1014.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 4,CXB-206,C4_MQ_3,MQ,Mosque,"(21.204094,  92.1419798999999)",Private Donation,**,**,**,No,No,No,No
1015.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 4,CXB-206,C4_MD_1,MD,Madrassah,"(21.20442216,  92.1442780099999)",Private Donation,**,-1.0,**,Yes,No,No,Yes
1016.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 4,CXB-206,C4_MQ_4,MQ,Mosque,"(21.2044899399999,  92.14412511)",Private Donation,**,-1.0,**,Yes,No,No,Yes
1017.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 4,CXB-206,C4_CF_1,CF,Child Friendly Space,"(21.2052318,  92.1419444999999)",Non-governmental Organization (United Nations),UNHCR,**,**,No,No,No,No
1018.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 4,CXB-206,C4_CF_2,CF,Child Friendly Space,"(21.2056858999999,  92.1449420999999)",**,**,**,**,No,No,No,No
1019.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 4,CXB-206,C4_FO_1,FO,Field Office,"(21.2056295,  92.1450439)",Non-governmental Organization (United Nations),Brac,-1.0,**,Yes,No,No,Yes
1020.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_29,MQ,Mosque,"(21.1837346199999,  92.14326284)",**,**,**,-1.0,No,Yes,No,Yes
1021.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MD_8,MD,Madrassah,"(21.1839099,  92.1433779999999)",Private Donation,**,**,-1.0,No,Yes,No,Yes
1022.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 20,CXB-216,C20_MQ_1,MQ,Mosque,"(21.1868354799999,  92.1433392099999)",Private Donation,**,-1.0,**,Yes,No,No,Yes
1023.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 20,CXB-216,C20_MD_1,MD,Madrassah,"(21.1867965699999,  92.1433236)",Private Donation,**,**,**,No,No,No,No
1024.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 17,CXB-212,C17_MQ_1,MQ,Mosque,"(21.1917885999999,  92.1441216)",Private Donation,**,**,**,No,No,No,No
1025.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 17,CXB-212,C17_WF_1,WF,Women's Friendly Space,"(21.1931714999999,  92.1450739999999)",Non-governmental Organization (United Nations),SaveTheChildren,**,**,No,No,No,No
1026.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 17,CXB-212,C17_MQ_2,MQ,Mosque,"(21.19167359,  92.1422975299999)",**,**,**,-1.0,No,Yes,No,Yes
1027.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 17,CXB-212,C17_CF_1,CF,Child Friendly Space,"(21.1915719,  92.1422615999999)",Non-governmental Organization (United Nations),Other,**,-1.0,No,Yes,No,Yes
1028.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 17,CXB-212,C17_MQ_3,MQ,Mosque,"(21.1922260099999,  92.14499517)",Private Donation,**,**,-1.0,No,Yes,No,Yes
1029.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 17,CXB-212,C17_CF_2,CF,Child Friendly Space,"(21.1966523199999,  92.1471444)",Non-governmental Organization (United Nations),Other,**,**,No,No,No,No
1030.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 17,CXB-212,C17_WF_2,WF,Women's Friendly Space,"(21.19658928,  92.14708803)",Non-governmental Organization (United Nations),Other,**,**,No,No,No,No
1031.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 17,CXB-212,C17_WF_3,WF,Women's Friendly Space,"(21.1976732,  92.1464713299999)",Non-governmental Organization (United Nations),UNHCR,**,**,No,No,No,No
1032.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 17,CXB-212,C17_MQ_4,MQ,Mosque,"(21.19729733,  92.14730061)",Private Donation,**,**,**,No,No,No,No
1033.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 17,CXB-212,C17_MD_1,MD,Madrassah,"(21.1971357699999,  92.14739043)",Private Donation,**,-1.0,**,Yes,No,No,Yes
1034.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 17,CXB-212,C17_DC_1,DC,Distribution Center,"(21.19913388,  92.14593322)",Non-governmental Organization (United Nations),RedCrescentSociety UNHCR,**,**,No,No,No,No
1035.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 17,CXB-212,C17_MQ_5,MQ,Mosque,"(21.19811908,  92.1459088999999)",Private Donation,**,-1.0,**,Yes,No,No,Yes
1036.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 17,CXB-212,C17_CF_3,CF,Child Friendly Space,"(21.2007256499999,  92.1449116299999)",,**,**,**,No,No,No,No
1037.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 17,CXB-212,C17_MQ_6,MQ,Mosque,"(21.2013783999999,  92.1457285)",Private Donation,**,**,**,No,No,No,No
1038.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 17,CXB-212,C17_MQ_7,MQ,Mosque,"(21.2000359,  92.1444922499999)",Private Donation,**,**,**,No,No,No,No
