FID,District,Upazila,Union,Settlement,Camp Name,Inter Sector Coordination Group Camp Name,Unique ID,Facility Code,Facility,Geographical Coordinates,Source of Funding,Implementing Partner,Landslide,Flood,Landslide Risk,Flood Risk,Risk of both,Risk of either
657.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 18,CXB-215,C18_CF_6,CF,Child Friendly Space,"(21.1864897399999,  92.1484947)",Non-governmental Organization (United Nations),Brac,**,**,No,No,No,No
658.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 18,CXB-215,C18_MQ_34,MQ,Mosque,"(21.1901051699999,  92.1510243799999)",Private Donation,**,-1.0,**,Yes,No,No,Yes
659.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 18,CXB-215,C18_MQ_35,MQ,Mosque,"(21.1919203,  92.14648411)",Private Donation,**,**,**,No,No,No,No
660.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 18,CXB-215,C18_MQ_36,MQ,Mosque,"(21.18630084,  92.1498633399999)",Private Donation,**,**,**,No,No,No,No
661.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 18,CXB-215,C18_MQ_37,MQ,Mosque,"(21.187065,  92.1482136)",Private Donation,**,**,**,No,No,No,No
662.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 8W,CXB-211,C8W_MQ_38,MQ,Mosque,"(21.1937807,  92.1554567)",**,**,**,**,No,No,No,No
663.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_1,MQ,Mosque,"(21.18111796,  92.1451635899999)",Local Government,**,**,-1.0,No,Yes,No,Yes
664.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_2,MQ,Mosque,"(21.1809809499999,  92.14450288)",Local Government,**,**,**,No,No,No,No
665.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_3,MQ,Mosque,"(21.1820391199999,  92.1415595099999)",Private Donation,**,**,**,No,No,No,No
666.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_4,MQ,Mosque,"(21.1830147,  92.145581)",Private Donation,**,**,-1.0,No,Yes,No,Yes
667.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MD_1,MD,Madrassah,"(21.1831439,  92.1454887999999)",Private Donation,**,**,-1.0,No,Yes,No,Yes
668.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_5,MQ,Mosque,"(21.1848139999999,  92.1421054)",Non-governmental Organization (United Nations),Oxfam,**,**,No,No,No,No
669.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_6,MQ,Mosque,"(21.1830724,  92.1415726999999)",Private Donation,**,**,-1.0,No,Yes,No,Yes
670.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_CF_1,CF,Child Friendly Space,"(21.1831968999999,  92.1417983999999)",Non-governmental Organization (United Nations),Brac,**,**,No,No,No,No
671.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_7,MQ,Mosque,"(21.1834661,  92.1425746999999)",Private Donation,**,**,**,No,No,No,No
672.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 19,CXB-219,C19_MQ_8,MQ,Mosque,"(21.1790486,  92.1454564)",Private Donation,**,**,**,No,No,No,No
673.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 8E,CXB-210,C8E_MQ_35,MQ,Mosque,"(21.19461545,  92.1616618399999)",**,**,**,-1.0,No,Yes,No,Yes
674.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_11,MQ,Mosque,"(21.18550407,  92.1543844699999)",Private Donation,**,-1.0,-1.0,Yes,Yes,Yes,Yes
675.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_12,MQ,Mosque,"(21.18477765,  92.1558328699999)",**,**,-1.0,**,Yes,No,No,Yes
676.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_13,MQ,Mosque,"(21.1851530699999,  92.15642567)",Private Donation,**,**,-1.0,No,Yes,No,Yes
677.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_CF_9,CF,Child Friendly Space,"(21.1836601999999,  92.1558318999999)",Non-governmental Organization (United Nations),Brac,-1.0,-1.0,Yes,Yes,Yes,Yes
678.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MD_5,MD,Madrassah,"(21.1838748999999,  92.1558657)",**,**,-1.0,**,Yes,No,No,Yes
679.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_14,MQ,Mosque,"(21.1854336299999,  92.15786875)",**,**,-1.0,**,Yes,No,No,Yes
680.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_15,MQ,Mosque,"(21.18178659,  92.15410943)",**,**,-1.0,**,Yes,No,No,Yes
681.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_16,MQ,Mosque,"(21.18460658,  92.15721351)",Private Donation,**,**,-1.0,No,Yes,No,Yes
682.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MD_6,MD,Madrassah,"(21.1847099999999,  92.15452191)",Private Donation,**,-1.0,**,Yes,No,No,Yes
683.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_17,MQ,Mosque,"(21.18137254,  92.15540987)",**,**,-1.0,**,Yes,No,No,Yes
684.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_18,MQ,Mosque,"(21.18328356,  92.1579765599999)",Private Donation,**,-1.0,**,Yes,No,No,Yes
685.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_CF_10,CF,Child Friendly Space,"(21.1841456,  92.1583032)",Non-governmental Organization (United Nations),Brac Unicef,-1.0,-1.0,Yes,Yes,Yes,Yes
686.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_19,MQ,Mosque,"(21.1841861,  92.1581364999999)",,**,**,-1.0,No,Yes,No,Yes
687.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_CF_11,CF,Child Friendly Space,"(21.1852038299999,  92.1536724399999)",Non-governmental Organization (United Nations),Brac,**,**,No,No,No,No
688.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_20,MQ,Mosque,"(21.18516168,  92.1535887299999)",Private Donation,**,**,**,No,No,No,No
689.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_CF_12,CF,Child Friendly Space,"(21.18212854,  92.157595)",Non-governmental Organization (United Nations),Unicef,-1.0,**,Yes,No,No,Yes
690.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MD_7,MD,Madrassah,"(21.18270959,  92.1577791999999)",Private Donation,**,-1.0,**,Yes,No,No,Yes
691.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MD_8,MD,Madrassah,"(21.1838195399999,  92.1525740799999)",Private Donation,**,**,**,No,No,No,No
692.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_21,MQ,Mosque,"(21.1856271999999,  92.1534688699999)",Private Donation,**,**,**,No,No,No,No
693.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_22,MQ,Mosque,"(21.1818099999999,  92.1572007999999)",**,**,-1.0,**,Yes,No,No,Yes
694.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_23,MQ,Mosque,"(21.1853625,  92.1523966999999)",**,**,-1.0,**,Yes,No,No,Yes
695.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_24,MQ,Mosque,"(21.180506,  92.1553549)",**,**,**,**,No,No,No,No
696.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_25,MQ,Mosque,"(21.1838279999999,  92.15526194)",**,**,-1.0,**,Yes,No,No,Yes
697.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_26,MQ,Mosque,"(21.18383682,  92.15450662)",Private Donation,**,-1.0,**,Yes,No,No,Yes
698.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_27,MQ,Mosque,"(21.1803215,  92.1540157)",**,**,**,**,No,No,No,No
699.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_MQ_28,MQ,Mosque,"(21.17939609,  92.1568316299999)",Private Donation,**,**,**,No,No,No,No
700.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_CF_13,CF,Child Friendly Space,"(21.1842865399999,  92.15414701)",Non-governmental Organization (United Nations),Brac,**,**,No,No,No,No
701.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 11,CXB-217,C11_DC_1,DC,Distribution Center,"(21.17975158,  92.1568619699999)",Local Government,**,**,**,No,No,No,No
702.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_2,MQ,Mosque,"(21.1837249,  92.1498402)",**,**,-1.0,**,Yes,No,No,Yes
703.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MD_1,MD,Madrassah,"(21.1837857,  92.149956)",**,**,-1.0,**,Yes,No,No,Yes
704.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_DC_1,DC,Distribution Center,"(21.18434634,  92.1515866999999)",Non-governmental Organization (United Nations),WFP,**,**,No,No,No,No
705.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_CF_1,CF,Child Friendly Space,"(21.1829819,  92.1483616)",**,**,-1.0,**,Yes,No,No,Yes
706.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MD_2,MD,Madrassah,"(21.1826335999999,  92.1495871999999)",Private Donation,**,-1.0,**,Yes,No,No,Yes
707.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MD_3,MD,Madrassah,"(21.1841225,  92.1509252)",Private Donation,**,**,**,No,No,No,No
708.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_3,MQ,Mosque,"(21.1842399999999,  92.1509659)",Private Donation,**,**,-1.0,No,Yes,No,Yes
709.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_4,MQ,Mosque,"(21.184577,  92.1492729)",Private Donation,**,**,-1.0,No,Yes,No,Yes
710.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_5,MQ,Mosque,"(21.18457,  92.1498287)",Private Donation,**,-1.0,**,Yes,No,No,Yes
711.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MD_4,MD,Madrassah,"(21.1846061,  92.1499381)",Private Donation,**,**,-1.0,No,Yes,No,Yes
712.0,Coxs_Bazar,Ukhia,Palong Khali,Spontaneous Site,Camp 12,CXB-218,C12_MQ_6,MQ,Mosque,"(21.1775066,  92.1546211999999)",Private Donation,**,**,**,No,No,No,No
